Accession	Sample Name	SPUID	Organism	Tax ID	Strain
SAMN15362055	MuVs_Washington.USA_48.16_FH1_G	MuVs_Washington.USA_48.16_FH1_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/48.16/FH1[G]
SAMN15362056	MuVs_Washington.USA_50.16_FH2_G	MuVs_Washington.USA_50.16_FH2_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/50.16/FH2[G]
SAMN15362057	MuVs_Washington.USA_50.16_FH3_G	MuVs_Washington.USA_50.16_FH3_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/50.16/FH3[G]
SAMN15362058	MuVs_Washington.USA_50.16_FH4_G	MuVs_Washington.USA_50.16_FH4_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/50.16/FH4[G]
SAMN15362059	MuVs_Washington.USA_1.17_FH5_G	MuVs_Washington.USA_1.17_FH5_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/1.17/FH5[G]
SAMN15362060	MuVs_Washington.USA_1.17_FH6_G	MuVs_Washington.USA_1.17_FH6_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/1.17/FH6[G]
SAMN15362061	MuVs_Washington.USA_1.17_FH7_G	MuVs_Washington.USA_1.17_FH7_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/1.17/FH7[G]
SAMN15362062	MuVs_Washington.USA_1.17_FH8_G	MuVs_Washington.USA_1.17_FH8_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/1.17/FH8[G]
SAMN15362063	MuVs_Washington.USA_5.17_FH9_G	MuVs_Washington.USA_5.17_FH9_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/5.17/FH9[G]
SAMN15362064	MuVs_Washington.USA_5.17_FH10_G	MuVs_Washington.USA_5.17_FH10_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/5.17/FH10[G]
SAMN15362065	MuVs_Washington.USA_5.17_FH11_G	MuVs_Washington.USA_5.17_FH11_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/5.17/FH11[G]
SAMN15362066	MuVs_Washington.USA_6.17_FH12_G	MuVs_Washington.USA_6.17_FH12_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/6.17/FH12[G]
SAMN15362067	MuVs_Washington.USA_6.17_FH13_G	MuVs_Washington.USA_6.17_FH13_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/6.17/FH13[G]
SAMN15362068	MuVs_Washington.USA_6.17_FH14_G	MuVs_Washington.USA_6.17_FH14_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/6.17/FH14[G]
SAMN15362069	MuVs_Washington.USA_7.17_FH15_G	MuVs_Washington.USA_7.17_FH15_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/7.17/FH15[G]
SAMN15362070	MuVs_Washington.USA_9.17_FH16_G	MuVs_Washington.USA_9.17_FH16_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/9.17/FH16[G]
SAMN15362071	MuVs_Washington.USA_8.17_FH17_G	MuVs_Washington.USA_8.17_FH17_G	Mumps rubulavirus	1979165	MuVs/Washington.USA/8.17/FH17[G]
